k,sse,silhouette
2,64.48889779373866,0.5292183305564835
3,48.764758273502466,0.287646636634428
4,35.43841489823726,0.30606289484074384
5,28.73541718217917,0.3067894569378339
6,23.544029408314692,0.2994259678315142
7,19.257751357952046,0.3147687534733254
8,15.741743418493769,0.28997768213738306
