Company,Cluster
ASML,2
Accenture,2
Adobe,2
Alphabet,0
Amazon,0
Apple,0
Broadcom,0
Cisco,0
Cloudflare,2
Fortinet,0
IBM,0
Infosys,0
Intel,0
Meta Platforms,0
Microsoft,0
Netflix,0
Nvidia,1
Oracle,0
Palantir,1
SAP,2
Salesforce,2
Samsung,0
ServiceNow,0
Snowflake,2
Sony,0
Spotify,2
Taiwan Semiconductor,0
Tencent,0
Tesla,1
Workday,2
