Company,Cluster
ASML,3
Accenture,3
Adobe,3
Alphabet,0
Amazon,0
Apple,0
Broadcom,0
Cisco,1
Cloudflare,3
Fortinet,0
IBM,1
Infosys,0
Intel,1
Meta Platforms,3
Microsoft,0
Netflix,3
Nvidia,2
Oracle,0
Palantir,2
SAP,3
Salesforce,3
Samsung,1
ServiceNow,0
Snowflake,1
Sony,3
Spotify,3
Taiwan Semiconductor,0
Tencent,1
Tesla,2
Workday,3
