,MeanReturn,MeanReturn,MeanReturn,Volatility,Volatility,Volatility,Beta,Beta,Beta,AvgVolume,AvgVolume,AvgVolume
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Cluster,,,,,,,,,,,,
0,0.01373232140380264,0.009713754651887898,18,0.08787847441228583,0.017329152387045858,18,0.9040070017781878,0.24623215270725665,18,598428976.8353413,570137074.1033697,18
1,0.03775096536572773,0.003240404152888543,3,0.192536761077328,0.05387670496686215,3,1.97335212580899,0.1462929834153933,3,4504311209.394441,4543190264.664441,3
2,0.011218320545842856,0.009645994384450038,9,0.11055782483502552,0.033727565859825705,9,1.1694043757832655,0.21374428933156941,9,63804492.23179209,41710116.574849926,9
