,MeanReturn,Volatility,Beta,AvgVolume
0,0.02617655194287841,-0.20847346707276315,0.4724955082263854,-0.4573917055541116
1,-0.40020786872277114,-0.8199975480663593,-0.26084048298690055,-0.44256538607441237
2,-0.48974551956715584,-0.25134780430571385,0.25016019578764936,-0.4329301040106448
3,-0.10213656494404333,-0.8089643788016887,-0.41459023069529377,-0.0677403126955851
4,-0.16665077978424744,-0.39219956589220534,0.40226313236995764,0.43170217976349634
5,0.599766513031546,-0.5249379235839885,0.1947208963278207,0.7155922225610407
6,1.23992469943415,-0.317601586931786,-0.2931941378226264,-0.1452636291343616
7,-0.740380955920266,-0.8566780622102694,-1.07051451722244,-0.2176237623332675
8,1.091021390740718,1.9555679148428329,0.6156303541324407,-0.4191876677084811
9,1.094295242131905,0.10326215725058564,-0.33142363101497163,-0.38722866924029115
10,-0.6317484624805588,-0.7758229642566195,-1.310186156907177,-0.4107197223767576
11,-0.1942235602516635,-0.6653641335432225,-0.9191872387683654,-0.3535077487900027
12,-2.0560108656264746,-0.009626719058905362,-0.6212623285202471,-0.03964087867008816
13,-0.12510140681014031,0.2129922671603763,0.25363365806784216,-0.1987623469221808
14,0.307520621989263,-1.14003243678299,-0.5894266017754243,-0.13107716640008082
15,-0.07566472506216719,0.4984884129209234,0.7788744383702225,0.3898996051465835
16,1.9043012636800987,0.8785111218863324,2.056308797200384,5.0089378177961175
17,0.0038537579453884626,-0.6743301209506039,-0.6182219868554267,-0.331405272480925
18,2.2045700801896446,3.5527437161935955,2.7275444653838314,0.18253511422580962
19,-0.3846569258449306,-0.49390938309126853,-0.3430119787219576,-0.4586116202289602
20,-0.19644262331137474,-0.24677453189540077,0.2239562248231444,-0.3913740112228214
21,-1.0567126503300492,-0.7475813619967464,-1.1168017573957099,-0.2841405056586225
22,0.7170169272655695,-0.6502934705866931,-0.4067370862123658,-0.37061086370909796
23,-2.130770927777864,0.5961823067139419,-0.4501419835476928,-0.4037087838100408
24,-0.45336005348672803,-0.6172827804456491,-0.6277319458585194,-0.4119730803799164
25,-0.21742706956544358,0.721360570143179,1.3159121387401662,-0.44756565592292347
26,0.4020881418934741,-0.2834448683459359,-0.22245269738782306,-0.34450623962296106
27,-1.3070108776934548,-0.07754104412714291,-1.7974125720554524,-0.18921260354590325
28,1.6491529782075869,2.08546799459775,2.0853071738108517,1.05231492587476
29,-0.5114363312728932,-0.042372309763557756,0.016330350507695365,-0.4442341288753692
