Cluster,MeanReturn,MeanReturn,MeanReturn,Volatility,Volatility,Volatility,Beta,Beta,Beta,AvgVolume,AvgVolume,AvgVolume
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
0,0.01992734586144117,0.006042402091161622,10,0.08360949100646255,0.013604504041614054,10,0.9672536388483651,0.1484330252563355,10,654839307.4698795,667397473.4132037,10
1,-1.0458470550299892e-05,0.007514346081612908,6,0.09260268448583912,0.02326887088193625,6,0.681476385589245,0.1868300002062374,6,373850012.248681,248859612.2492705,6
2,0.03775096536572773,0.003240404152888543,3,0.192536761077328,0.05387670496686215,3,1.97335212580899,0.1462929834153933,3,4504311209.394441,4543190264.664441,3
3,0.013539632944538482,0.005263218430752027,11,0.10773835872333767,0.03131612547668144,11,1.185033701094332,0.21247454194682724,11,232224442.26649025,445449865.4966431,11
