param,coef,se,pvalue
const,-0.03081790548636402,0.015754353133531174,0.05044728021509875
Beta,0.02061381382737229,0.00712217385985994,0.0037998688822610733
Volatility,-0.021089790000680675,0.07168015221353159,0.7685892060131242
logAvgVol,0.0013362065686373086,0.0009349223761619,0.15294199137546433
