Company,Volatility,MeanReturn,Corr_Market
ASML,0.0967612782384247,0.0156850876484325,0.3078176446101503
Accenture,0.0721598334591538,0.0107153427821085,0.2225020670332901
Adobe,0.0950364555001762,0.0096717322300815,0.32021304827146363
Alphabet,0.0726036948095754,0.0141895277193542,0.07966979691922259
Amazon,0.0893700280569544,0.013437579072857,0.19512917739205363
Apple,0.0840300006102189,0.0223705940279695,0.1954094342339471
Broadcom,0.0923710841348412,0.0298319896754534,0.14075465742215051
Cisco,0.0706841865120696,0.0067504384098472,0.21427270774812254
Cloudflare,0.1838200649844059,0.0280964397395468,0.048470172053822126
Fortinet,0.1093023162545592,0.0281345982776075,0.07184252328577051
IBM,0.073936964757854,0.0080166098514424,0.10557807951659907
Infosys,0.0783806929913574,0.0131162031558751,0.30333789034304365
Intel,0.1047608279582856,-0.0085839515745181,0.26497507188707126
Meta Platforms,0.1137167282515208,0.0139218598604024,0.2660174798357021
Microsoft,0.0592849183300393,0.0189643074792155,0.2204110340958364
Netflix,0.1252021592965434,0.0144980715684698,0.2137586046498499
Nvidia,0.1404903678561984,0.0375756638329489,0.21215970322594735
Oracle,0.0780199937957739,0.0154249032104133,0.23790347441740944
Palantir,0.2480740060816658,0.041075461989354,0.00948204736117704
SAP,0.0852782702192795,0.0108965975718895,0.3169169471047348
Salesforce,0.0952204369853862,0.0130903387557832,0.1647120261734886
Samsung,0.0750731166119977,0.0030634185794924,0.19357926933111375
ServiceNow,0.0789869815972119,0.0237372120749052,0.10227819182586183
Snowflake,0.1291323576454226,-0.00945532120501,0.0851265302049418
Sony,0.0803149925388432,0.0100958248434554,0.24155629812972604
Spotify,0.1341682445892626,0.0128457534965915,0.296840453339502
Taiwan Semiconductor,0.0937451994840938,0.020066543920761,0.2833673509634819
Tencent,0.1020286534294052,0.0001460551154443,0.21983815831600678
Tesla,0.1890459092941199,0.0346017702748803,0.15982201243688954
Workday,0.1034434818937182,0.0094189138931622,0.2241289274365768
