Company,n_obs,Intercept,Coef_Market,SE_Market,p_Market,Coef_logVol,SE_logVol,p_logVol,R2,DW,BP_stat,BP_p
ASML,83,1.3105407293526046,2.295117239746156,0.9859135954165718,0.01991693045049798,-0.0771602929240447,0.02959007904448516,0.009116860765864498,0.16307269189876494,2.107571649454074,9.326117387969175,0.009437551627252672
Accenture,83,1.463910597409461,1.3036627444391422,0.5882529649824995,0.026680540019876447,-0.0824292466001573,0.03646739218955044,0.023799236647936855,0.11878793316441216,2.190791826450724,11.460978950690993,0.003245488258273662
Adobe,83,1.8825528343080764,2.5054179894152178,0.6584488173975159,0.00014178658218590729,-0.10451543441641888,0.039503101424693834,0.008150939858472936,0.20419711977429544,2.2988829428813915,12.268081695690807,0.0021678034744165324
Alphabet,83,1.1246094911373996,0.491075041674375,0.8119803889628939,0.5453206485766409,-0.054565990854979735,0.04364159175009371,0.21118237527091543,0.03278449801316474,2.2955791377518233,11.215886779116598,0.0036686064990250297
Amazon,83,0.6107441392396795,1.4286013596736915,1.0804537355636883,0.18609372566398152,-0.02831238664235974,0.03141820549760265,0.36751075822474577,0.05063283838930921,2.283465352562848,9.180391585039061,0.010150870714239146
Apple,83,0.36691696473113955,1.247887399429407,0.6414996756099398,0.05174299233163942,-0.016146814572205705,0.024329062318628566,0.5068924457562684,0.04428756862479333,1.7575823254988472,16.407299555153898,0.0002736529726206534
Broadcom,83,-0.3619311892865236,0.8922343427357837,0.920743273370827,0.3325267052899017,0.01947103947494502,0.03725242184476533,0.6011980117112884,0.025437668556989812,2.040805598923286,12.367972765687071,0.002062190765565162
Cisco,83,0.9580878974016516,1.1798997757936025,0.5689376318958381,0.03809186118779326,-0.04785752223856332,0.037050143345646186,0.19646244064024476,0.06384078259775294,2.29367478405497,7.535592843591352,0.023102916320190032
Cloudflare,63,-0.3808292906807989,0.4375562424088575,1.973616080951788,0.8245452379890467,0.022467960728063945,0.04841080326175895,0.642568599754781,0.005706451314072214,1.8295985338994203,7.688598068611725,0.021401397950335646
Fortinet,83,0.7774181809385549,0.7848804334345487,1.060881668402023,0.4593983774905629,-0.04002235604034408,0.034289495287276046,0.24313364797408388,0.019288369446614495,2.0676576894648364,3.136165867604495,0.2084444012860139
IBM,83,1.5886556736796613,0.5758778311178223,0.6344263951237945,0.3640292534176718,-0.08582835081166565,0.0431246613221267,0.046564695781596825,0.09678509401547397,2.3069821150224152,17.027665812160638,0.00020067318748475806
Infosys,83,0.9663078109873525,1.6604519060198408,0.7955974975715864,0.03688359818071124,-0.04999628995185402,0.03255742308355926,0.12462813947989168,0.1334429797585014,2.0555161214558715,12.12771886162517,0.0023254087921614347
Intel,83,1.321573326957282,2.0711748543133512,0.8294311892852599,0.012521269072034697,-0.06534006639504587,0.0402126437711708,0.10419159775256942,0.12464796127715116,2.212972037749068,16.583327800563097,0.0002505971469905623
Meta Platforms,83,1.6319680609017324,2.614734253307935,1.003804986107096,0.009192174954423237,-0.08132242341754999,0.046815671961321095,0.08237359400165015,0.13990087000021845,1.8017827608990753,23.71190864507643,7.096177334227479e-06
Microsoft,83,1.0619616212758876,1.1525547672219743,0.5593762590463147,0.03935759792705811,-0.05173181307461273,0.027655100318558324,0.06139962965533371,0.09586219148880704,2.1628569146240393,2.8383557399135144,0.2419128189615778
Netflix,83,1.011219502563731,2.1053838370070554,2.1272784346480997,0.32231701254673806,-0.04748501050588241,0.0412162602034877,0.24928240433075521,0.0833523870623204,1.9136998728751773,16.282705687735152,0.0002912429253953136
Nvidia,83,1.2460740398052264,2.3128690483077676,1.577996815507143,0.14273018689347977,-0.05271728508086276,0.043139283909683905,0.22169815852693997,0.058747760696406304,1.8064094765341867,7.931762199743354,0.018951331238436956
Oracle,83,0.08179473658822223,1.3895444872954361,0.6172403079693156,0.024371528705770435,-0.003487289742036876,0.01930277582112197,0.8566324134851931,0.05688614352391319,2.4753524477296747,1.8494650846213436,0.39663748863601217
Palantir,51,-4.378788636375726,-0.6622369743299137,1.8004476508473595,0.7130089794508403,0.21253983734884693,0.11167399201230951,0.05701223896278904,0.10350666233344252,2.447063121566686,7.013743163794368,0.029990590938499814
SAP,83,0.428759970139669,1.926711309344896,0.83096766825749,0.020414797148654875,-0.025088971761257958,0.03911451438562696,0.5212475183306744,0.10891845544682044,2.063102253103037,11.577561089429148,0.0030617135235942016
Salesforce,83,0.9575968851109269,1.3322704332598991,0.8152107797209999,0.10220322241143182,-0.05054613926998676,0.052014496177549614,0.33116486578981763,0.04783215686387854,2.257166526493704,14.226819740236708,0.0008141142299948056
Samsung,83,0.07650527869009177,1.0660156219926105,0.4795450001500229,0.026217615820846737,-0.003788265483105446,0.018075640526624633,0.8339966677497934,0.037932922474123165,1.987590932461328,6.348138858216415,0.04183301456330125
ServiceNow,83,-0.08906065522416987,0.5740083876793624,0.7950209583138989,0.4702919597295808,0.005943564333657875,0.03694896296784943,0.872204644679976,0.010938887928897412,2.1443957427528297,12.252645636103681,0.002184599378487923
Snowflake,51,1.1101002954417347,0.888470192291447,1.4630707390788935,0.5436757239324113,-0.06048609592569239,0.0603185349083611,0.31596801685617226,0.040470144304471156,1.8078599549471164,3.0787844263301185,0.21451143904281658
Sony,83,-0.0006544727907680931,1.4329894825657794,0.8601331361252379,0.09571163655447508,0.0005453707380709142,0.028918812087800155,0.9849538390863626,0.05835306414441621,2.1955991002064295,4.935234176107225,0.08478665761123301
Spotify,80,-0.5053275121586878,2.8205087987301884,1.5622588928850776,0.07101145121202251,0.02968320578866576,0.06274604053653068,0.6361639623683236,0.09215229668161806,1.8552002192271342,6.539403453840444,0.03801776506005313
Taiwan Semiconductor,83,-0.4606818573521295,1.9224788099033854,0.9476009928052126,0.04248017981798234,0.02503857577726301,0.03474686010623009,0.47115585958166417,0.08709648237762535,1.991981952562617,13.127793322863162,0.001410379218542419
