Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-04-01,43527.04296875,45268.1246875,39479.02797265625,41307.163777343754,424101937
2020-05-01,44136.421875,44571.692307692305,41089.528846153844,43527.04326923077,374264673
2020-06-01,45964.55859375,49620.83030007102,43439.99003462358,44223.47682883523,517439261
2020-07-01,50741.31640625,52932.21953259931,45658.421153119605,46797.69077882125,437314531
2020-08-01,47323.515625,52494.04788773148,47323.515625,50653.688946759255,401697954
2020-09-01,51004.234375,53720.95476267182,47411.152571950166,47411.152571950166,426302298
2020-10-01,49907.18359375,54227.770159286665,49907.18359375,51317.987370251765,327557687
2020-11-01,58812.8828125,61281.7894373126,49378.13249625188,49730.833442653675,496431342
2020-12-01,71421.9375,71686.46319444446,59165.58032407408,59165.58032407408,529998852
2021-01-01,74123.3515625,87501.7125762195,72496.25360137195,73219.4082507622,765471247
2021-02-01,74575.3125,78100.6909090909,73219.39772727272,73852.15795454546,432953240
2021-03-01,73580.9765625,77106.3550464527,72857.82200168919,74575.31408361487,387612356
2021-04-01,73998.7421875,78266.1543136503,73998.7421875,74906.70221434049,372938171
2021-05-01,73090.8046875,75814.68560753106,71184.08804347826,73544.78484083852,352211074
2021-06-01,73272.390625,75360.69915582404,72273.63437112764,73090.7985788414,333099465
2021-07-01,71590.421875,74143.96558519108,71225.62991640127,73414.38166799363,275886253
2021-08-01,69948.8671875,75967.93528968382,66118.55112247392,72228.817226206,499862582
2021-09-01,67577.71875,70952.04478744938,67212.92674595141,69948.86677631579,281233337
2021-10-01,63958.8046875,67807.32875179083,62584.331807396135,67715.69722645057,300193653
2021-11-01,65333.28515625,69823.2304194425,63775.549044530155,64325.33826043128,313117871
2021-12-01,71747.484375,74038.27250957854,65608.1721743295,65974.69827586207,343905413
2022-01-01,67469.2109375,73452.1559728854,65536.25946452933,73083.97473993861,267210370
2022-02-01,66180.5859375,69770.35346401251,65628.31401034423,67469.2204341968,161403414
2022-03-01,64063.546875,67285.13328394397,63235.13894127155,66180.58937230603,244959021
2022-04-01,62359.23046875,64394.69496476262,59676.11817855156,64302.173851307496,309880731
2022-05-01,62359.23046875,63654.526057121664,60046.202632372035,61619.061561109054,310129252
