Price,Close,High,Low,Open,Volume
Ticker,SONY,SONY,SONY,SONY,SONY
Date,,,,,
2018-01-01,9.149739265441895,9.913171076507817,8.634422337931143,8.67259392848444,118143000
2018-02-01,9.63070011138916,10.289160181804567,8.651597998106901,9.271886483426956,143769000
2018-03-01,9.226081848144531,9.846370381924286,9.075303938726096,9.504734532118421,129379000
2018-04-01,8.772317886352539,9.687256799317792,8.523484745707714,9.268069294264084,146523500
2018-05-01,9.013492584228516,9.375256638056877,8.73403429984286,8.80485539473554,113329000
2018-06-01,9.811673164367676,9.922691095003017,9.063260710140257,9.063260710140257,97413500
2018-07-01,10.339963912963867,10.623251058119104,9.2852950142034,9.647060015791846,84311000
2018-08-01,10.877825736999512,10.952475670248473,10.160038549176605,10.495005355865796,109433500
2018-09-01,11.60901165008545,11.676004829397074,10.563913489256013,10.795519132528787,103155000
2018-10-01,10.384077072143555,11.70582662107032,9.651264020898575,11.665540344507393,164253500
2018-11-01,10.132770538330078,10.683338901417391,9.461345192147308,10.644971764913938,113843500
2018-12-01,9.261837005615234,10.424362409704523,8.755390367377906,10.374485033832979,94203500
2019-01-01,9.614815711975098,9.69538644074921,8.99518582713168,9.125633935074017,95528000
2019-02-01,9.20620059967041,9.599464799383663,8.139593907930266,9.591791007997431,183042000
2019-03-01,8.10314655303955,9.219631730706158,8.039840734886814,9.17359080305157,133856500
2019-04-01,9.704276084899902,9.810238661795275,8.0974928726163,8.222721873678285,213772000
2019-05-01,9.247672080993652,10.328493462632562,9.191800187202979,9.708128767071255,206125500
2019-06-01,10.093445777893066,10.426747850809182,9.110881357645408,9.2495964535087,156528000
2019-07-01,10.954638481140137,11.060601983302728,10.207118264291488,10.318861142859484,154723000
2019-08-01,10.964268684387207,11.097204410634715,10.272619637327203,10.87564517311336,124329000
2019-09-01,11.391974449157715,11.702156300878382,10.98160849220192,11.023994251854,89641500
2019-10-01,11.755904197692871,11.937566756774238,10.921027928741372,11.305611764795918,93335500
2019-11-01,12.268040657043457,12.320220317844864,11.624489971279997,11.84093931004155,94025500
2019-12-01,13.141568183898926,13.232399475804614,12.115366078805167,12.264175281250456,100707500
2020-01-01,13.562871932983398,14.098197493748529,13.133838138349969,13.199545825860167,111652000
2020-02-01,12.020669937133789,14.27406318819159,11.46988388995791,13.584130144623998,139071500
2020-03-01,11.437030792236328,12.552130941115417,9.844581126542257,12.29123262017002,194865500
2020-04-01,12.463823318481445,12.580216884819636,10.989502961503332,11.237809976369213,156279000
2020-05-01,12.562755584716797,12.88089832724316,11.901252375727271,12.265951983614315,131713000
2020-06-01,13.410489082336426,14.03319532550128,12.523956919244865,12.591853846623842,148310000
2020-07-01,15.123416900634766,15.278608306180383,13.381391245853607,13.418249343422753,107342500
2020-08-01,15.255330085754395,16.324212187541658,15.169975363933588,15.26890928809015,122719000
2020-09-01,14.888689994812012,15.552133899082436,14.665601656234475,15.36978316558903,102526500
2020-10-01,16.27951431274414,16.355404085767763,14.09814449664137,14.966022197553274,120230000
2020-11-01,18.15342903137207,18.388883287128248,16.35345856668298,16.369024747293203,123206000
2020-12-01,19.673189163208008,19.73156791725805,17.933542005954784,18.318832874998026,99565500
2021-01-01,18.62434196472168,20.432095768788933,18.503694769530476,19.751025167522066,94190000
2021-02-01,20.58971405029297,23.059078705743453,18.863688388793996,18.994063511576005,114478000
2021-03-01,20.628631591796875,21.12483982686476,19.476650622729437,20.885492150583264,115389500
2021-04-01,19.540874481201172,22.143464195017813,19.50965942800297,20.789493354404364,73775500
2021-05-01,19.433576583862305,19.741829250821496,17.900116548811187,19.698907381051878,80453000
2021-06-01,18.96729278564453,19.714511675565088,18.42102279505787,19.482347720314923,75330000
2021-07-01,20.34857749938965,20.70365365056147,19.033624873091707,19.101910251098303,66775500
2021-08-01,20.184696197509766,20.56318412492748,18.655139749719247,20.44222368202359,56294500
2021-09-01,21.57378578186035,22.996040471995396,20.258834839559547,20.290049900202757,62933500
2021-10-01,22.642038345336914,23.256044830657945,20.354173632556602,21.50397095072781,64965000
2021-11-01,23.82703399658203,24.591610530321606,23.46527682499486,23.46527682499486,56757000
2021-12-01,24.716758728027344,25.08829145423026,23.023347587656705,24.102750402429724,59176500
2022-01-01,21.834442138671875,26.154008062587543,20.123432265418483,24.716760440401693,139201500
2022-02-01,20.049123764038086,23.269731698796907,19.02056243643018,21.863770822145216,78141000
2022-03-01,20.084321975708008,21.0248884136214,18.445662844008616,19.984595247246883,72795500
2022-04-01,16.869443893432617,20.59424979179125,16.469518428121507,20.198244889433344,87912000
2022-05-01,18.441701889038086,18.596576263055255,15.671624384355919,16.804748295411425,85429000
2022-06-01,16.03038215637207,18.76125125175179,15.675545066452228,18.671072703098954,68659500
2022-07-01,16.740055084228516,17.300736688261505,15.497147887409927,15.785329814918894,58237500
2022-08-01,15.555960655212402,17.228202253984637,15.552040092318125,16.710650559828352,83463000
2022-09-01,12.556513786315918,15.522634766811926,12.532988538184057,15.497149237136215,78173000
2022-10-01,13.278116226196289,13.474916331951146,12.146513975876243,12.88254721597464,90910000
2022-11-01,16.34819984436035,16.564679480268243,13.876388204239078,13.894099884393597,117504000
2022-12-01,15.01192569732666,16.568615773933367,14.72262959376413,16.314743970322446,77233500
2023-01-01,17.60575294494629,17.90882592654119,15.033573013728263,15.183141644398503,75319000
2023-02-01,16.44856834411621,18.741291716720504,16.145497209662746,17.493578185811046,70961000
2023-03-01,17.839942932128906,17.893079843713082,16.20846970537473,16.51154266452718,96862000
2023-04-01,17.704708099365234,18.78669605225362,17.22097313176059,17.850816580107942,79269500
2023-05-01,18.500402450561523,19.576466577580785,17.795530492368073,18.18449406152147,85672000
2023-06-01,17.777759552001953,19.92988763377577,17.61585679802263,18.99203491425281,80248000
2023-07-01,18.480655670166016,18.840002082159874,17.629677211392192,18.073924511404822,82046500
2023-08-01,16.425277709960938,18.543840243158602,15.862565664804125,18.46091457468707,92860500
2023-09-01,16.271272659301758,17.27625685442551,16.008672816993165,16.940603713473955,61251500
2023-10-01,16.45184326171875,17.28780671405723,15.77237441050109,16.17649044712428,60735000
2023-11-01,17.026321411132812,17.60277858092556,16.000184764349786,16.7073869202957,101418000
2023-12-01,18.757675170898438,18.801256829705352,16.76285221191616,16.91142355846574,85460500
2024-01-01,19.363847732543945,19.983888420541657,17.971235270464376,18.521942787884196,77884500
2024-02-01,16.998586654663086,19.61939174803146,16.816338660008743,19.419315494293336,109794500
2024-03-01,16.98472023010254,17.77710200392467,16.949061822308884,17.357139474880224,65255500
2024-04-01,16.411067962646484,17.16036798273378,16.07716181526808,17.092792934566553,65314000
2024-05-01,16.3653564453125,17.007329878692012,14.928369169926766,16.458770413003435,122883000
2024-06-01,16.88410186767578,17.388934950333248,15.761144993059526,16.522370344846017,83581000
2024-07-01,17.60756492614746,19.17374200255253,16.89801455794738,16.91789035377298,90385000
2024-08-01,19.390382766723633,19.42218479992492,15.856548153873327,17.237884762336034,90948500
2024-09-01,19.193614959716797,19.624909851544714,17.840104795146537,19.16181482523467,58803000
2024-10-01,17.5508975982666,19.427646918062273,17.371399481486844,19.32194175297056,58086600
2024-11-01,19.994060516357422,20.612331577281527,17.5708417198698,17.630673789627874,62307600
2024-12-01,21.100963592529297,22.646638342317296,19.874395740605106,19.944200136759424,70222400
