Company,Ticker,Date,AdjClose,Volume,Return
Microsoft,MSFT,2018-02-28,86.64776611328125,725663300.0,-0.008450517904653756
Microsoft,MSFT,2018-03-31,84.33761596679688,750754800.0,-0.027023254270481946
Microsoft,MSFT,2018-04-30,86.41675567626953,668130700.0,0.024353607461024062
Microsoft,MSFT,2018-05-31,91.7285385131836,509417900.0,0.0596519584639526
Microsoft,MSFT,2018-06-30,91.51509857177734,602585200.0,-0.0023295765280427756
Microsoft,MSFT,2018-07-31,98.4476089477539,569352300.0,0.07302054743774365
Microsoft,MSFT,2018-08-31,104.64913177490234,456628100.0,0.0610886345725569
Microsoft,MSFT,2018-09-30,106.54962158203125,480255500.0,0.017997654593096695
Microsoft,MSFT,2018-10-31,99.5065689086914,927548000.0,-0.06838714581714628
Microsoft,MSFT,2018-11-30,103.75387573242188,720228600.0,0.04179785370194598
Microsoft,MSFT,2018-12-31,95.03365325927734,944314600.0,-0.08779044116499912
Microsoft,MSFT,2019-01-31,97.70960235595703,714212800.0,0.027768764607746167
Microsoft,MSFT,2019-02-28,105.2681655883789,469095900.0,0.07451121402077998
Microsoft,MSFT,2019-03-31,110.82147216796875,589095800.0,0.05140949533391827
Microsoft,MSFT,2019-04-30,122.71736145019531,433157700.0,0.10196328915139667
Microsoft,MSFT,2019-05-31,116.64517974853516,547218800.0,-0.05074716154966473
Microsoft,MSFT,2019-06-30,126.34048461914062,508324300.0,0.07984384602686473
Microsoft,MSFT,2019-07-31,128.5190887451172,484079900.0,0.01709692255220096
Microsoft,MSFT,2019-08-31,130.45159912109375,584482000.0,0.014924826157436096
Microsoft,MSFT,2019-09-30,131.55874633789062,472544800.0,0.008451222065386434
Microsoft,MSFT,2019-10-31,135.66549682617188,549523400.0,0.03073878176318136
Microsoft,MSFT,2019-11-30,143.7324981689453,392371800.0,0.05776164656249507
Microsoft,MSFT,2019-12-31,149.73318481445312,450303300.0,0.04090102190956682
Microsoft,MSFT,2020-01-31,161.6302032470703,558530000.0,0.07645608759804243
Microsoft,MSFT,2020-02-29,154.2456512451172,887522300.0,-0.046764560416807065
Microsoft,MSFT,2020-03-31,150.15171813964844,1612695500.0,-0.026900232302323013
Microsoft,MSFT,2020-04-30,170.62135314941406,984705000.0,0.12780055504214835
Microsoft,MSFT,2020-05-31,174.95362854003906,688845000.0,0.025074166811445517
Microsoft,MSFT,2020-06-30,194.29635620117188,764965400.0,0.10486364370060183
Microsoft,MSFT,2020-07-31,195.7284393310547,770190800.0,0.0073435821624014425
Microsoft,MSFT,2020-08-31,215.83990478515625,692423900.0,0.09780876642114976
Microsoft,MSFT,2020-09-30,201.29302978515625,768176300.0,-0.06977524528205228
Microsoft,MSFT,2020-10-31,193.77072143554688,631618000.0,-0.03808609418152578
Microsoft,MSFT,2020-11-30,205.40870666503906,573443000.0,0.058326073563405814
Microsoft,MSFT,2020-12-31,213.42083740234375,594761700.0,0.038264293487245485
Microsoft,MSFT,2021-01-31,222.57484436035156,648076400.0,0.041997445280968715
Microsoft,MSFT,2021-02-28,223.49139404296875,490962200.0,0.0041094837205233395
Microsoft,MSFT,2021-03-31,226.75173950195312,724945800.0,0.014482852507071839
